Código,Descripción,tipo,grupo,nivel,padre,es_titular,prefijo
201010701000,INT. POR PAGAR A INSTITUCIONES NACIONALES,D,PASIVO,3,201010000000,False,201
201010702000,INT. POR PAGAR A INSTITUCIONES DEL EXTERIOR,D,PASIVO,3,201010000000,False,201
201010703000,INTERESES A PAGAR A INTITUCIONES FINANCIERAS,D,PASIVO,3,201010000000,False,201
201010800000,IMPUESTOS DIRECTOS A PAGAR,T,PASIVO,3,201010000000,True,201
201010800010,RETENCIONES A TERCERAS PERSONAS. ISRL,D,PASIVO,4,201010800000,False,201
201010800020,IMPUESTOS LEY DE TIMBRE FISCAL.-,D,PASIVO,4,201010800000,False,201
201010800030,RETENCION IMPUESTO AL VALOR AGREGADO,D,PASIVO,4,201010800000,False,201
201010800040,RETENCION IMPUESTO MUNICIPAL,D,PASIVO,4,201010800000,False,201
201010800050,RETENCION IMPUESTO MUNICIPAL 1X500,D,PASIVO,4,201010800000,False,201
201010800060,RETENCION IMPUESTO 5X1000 SETA,D,PASIVO,4,201010800000,False,201
201010800070,RET. IMPUESTO SOBRE ACTIV. ECONOMICA (SUMAR),D,PASIVO,4,201010800000,False,201
201010900000,IMPUESTOS INDIRECTOS A PAGAR,D,PASIVO,3,201010000000,False,201
201011000000,DEBITO FISCAL,D,PASIVO,2,201000000000,False,201
201011100000,IMPUESTO AL VALOR AGREGADO POR PAGAR,D,PASIVO,3,201011000000,False,201
201019900000,OTRAS CUENTAS A PAGAR,T,PASIVO,3,201000000000,True,201
201019900010,CUENTAS A PAGAR A FACULTADES Y DEPENDENCIAS,D,PASIVO,4,201019900000,False,201
201019900020,OTRAS DEUDAS CONTRACTUALES,D,PASIVO,4,201019900000,False,201
201019900030,DEUDA POR PAGAR FIDEICOMISO,D,PASIVO,4,201019900000,False,201
201019900040,DEUDA POR PAGAR A NIVEL CENTRAL,D,PASIVO,4,201019900000,False,201
201019900050,PRESTACIONES SOCIALES PERSONAL DOCENTE,D,PASIVO,4,201019900000,False,201
201019900060,PRESTACIONES SOCIALES PERSONAL ADMINISTRAT.,D,PASIVO,4,201019900000,False,201
201019900070,PRESTACIONES SOCIALES PERSONAL OBRERO,D,PASIVO,4,201019900000,False,201
201019900080,DEUDA PRIMAS TITULARES Y DIRECT.,D,PASIVO,4,201019900000,False,201
201019900090,CUENTAS POR PAGAR FONDO DE JUBILACION,D,PASIVO,4,201019900000,False,201
201019900100,PRESTACIONES SOCIALES PERSONAL DIRECTIVO,D,PASIVO,4,201019900000,False,201
201019900110,CUENTAS A PAGAR A MINISTERIOS,D,PASIVO,4,201019900000,False,201
201019900120,DEUDA POR PAGAR PERS. DOCENTE RET. FONDO JUB.,D,PASIVO,4,201019900000,False,201
201020000000,EFECTOS A PAGAR,T,PASIVO,2,201000000000,True,201
201020100000,EFECTOS A PAGAR COMERCIALES REFINANCIACIONES,D,PASIVO,3,201020000000,False,201
201020200000,EFECTOS A PAGAR CONTRATISTAS REFINAN. A PAG.,D,PASIVO,3,201020000000,False,201
201020300000,OTROS EFECTOS A PAGAR,D,PASIVO,3,201020000000,False,201
201030000000,PRESTAMOS A CORTO PLAZO,T,PASIVO,2,201000000000,True,201
201030100000,DEUDA INTERNA POR PRESTAMO A CORTO PLAZO,T,PASIVO,3,201030000000,True,201
201030101000,PRESTAMO A CORTO PLAZO DE LA ADMINISTRACION C,D,PASIVO,3,201030000000,False,201
201030102000,PRESTAMOS CORTO PLAZO DE ENTIDADES FEDERALES,D,PASIVO,3,201030000000,False,201
201030103000,PRESTAMOS A CORTO PLAZO DE MUNICIPIOS,D,PASIVO,3,201030000000,False,201
201030104000,PREST.A CORTO PLAZO DE INSTITUCIONES DE SEG.,D,PASIVO,3,201030000000,False,201
201030105000,PRESTAMOS A CORTO PLAZO DE ENTES DESCENTRALIZ,D,PASIVO,3,201030000000,False,201
201030106000,PREST. A CORTO PLZ. DE EMP. PUBL. NO FINANC.,D,PASIVO,3,201030000000,False,201
201030107000,PRESTAMOS A CORTO PLAZO DE EMPRESAS PETROLERA,D,PASIVO,3,201030000000,False,201
201030108000,PRESTAMOS A CORTO PLAZO DE EMP. FINANC. PUBLI,D,PASIVO,3,201030000000,False,201
201030109000,PRESTAMOS A CORTO PLAZO DE INST. PUBLICAS FIN,D,PASIVO,3,201030000000,False,201
201030110000,PRESTAMOS A CORTO PLAZO DEL SECTOR PRIVADO,D,PASIVO,3,201030000000,False,201
201030111000,"PRESTAMOS, ANTICIPOS, DESCUENTOS, Y REDESCUEN",D,PASIVO,3,201030000000,False,201
201030200000,PRESTAMOS A CORTO PLAZO DEL SECTOR EXTERNO,T,PASIVO,3,201030000000,True,201
201030201000,PRESTAMOS A CORTO PLAZO DEL SECTOR EXTERNO,D,PASIVO,3,201030000000,False,201
201040000000,PORC. CIRC. DE PRESTAMOS A MED. Y LARGO PLZ.,T,PASIVO,2,201000000000,True,201
201040100000,DEUDA INTERNA A LARGO PLAZO POR CONVERSION,D,PASIVO,3,201040000000,False,201
201040200000,DEUDA EXTERNA A LARGO PLAZO POR CONVERSION,D,PASIVO,3,201040000000,False,201
201050000000,OTROS PASIVOS CIRCULANTES,T,PASIVO,2,201000000000,True,201
201050100000,OTROS PASIVOS CIRCULANTES DIFERIDOS,D,PASIVO,3,201050000000,False,201
201050200000,PROVISIONES PARA EL EJERCICIO,D,PASIVO,3,201050000000,False,201
201050300000,DEPOSITOS DE TERCEROS A LA VISTA,D,PASIVO,3,201050000000,False,201
201050400000,DEPOSITOS DE TERCEROS EN AHORRO Y PLAZO FIJO,D,PASIVO,3,201050000000,False,201
201059900000,OTROS PASIVOS CIRCULANTES,T,PASIVO,3,201000000000,True,201
201059900010,EMBARGOS DE SUELDOS PERSONAL DIRECTIVO,D,PASIVO,4,201059900000,False,201
201059900020,EMBARGOS DE SUELDOS PERSONAL DOCENTE,D,PASIVO,4,201059900000,False,201
201059900030,EMBARGOS DE SUELDOS PERSONAL ADMINISTRATIVO,D,PASIVO,4,201059900000,False,201
201059900040,EMBARGOS DE SUELDOS PERSONAL OBRERO,D,PASIVO,4,201059900000,False,201
201059900050,INSUFICIENCIA BONO COMPENSATORIO PERS.ADM.-,D,PASIVO,4,201059900000,False,201
201059900060,CUENTAS A PAGAR SECTOR PRIVADO.-,D,PASIVO,4,201059900000,False,201
201059900070,CUENTAS A PAGAR GARANTIA ALQUILER.-,D,PASIVO,4,201059900000,False,201
201059900080,CUENTAS A PAGAR.-,D,PASIVO,4,201059900000,False,201
201059900090,VACACIONES ACUMULADAS PERSONAL DIRECTIVO.-,D,PASIVO,4,201059900000,False,201
201059900100,VACACIONES ACUMULADAS PERSONAL DOCENTE.-,D,PASIVO,4,201059900000,False,201
201059900110,VACACIONES ACUMULADAS PERSONAL ADMINISTRAT.,D,PASIVO,4,201059900000,False,201
201059900120,TRANSACCION DEUDA PERSONAL DIRECTIVO.-,D,PASIVO,4,201059900000,False,201
201059900130,TRANSACCION DEUDA PERSONAL DOCENTE.-,D,PASIVO,4,201059900000,False,201
201059900140,TANSACCION DEUDA PERSONAL ADMINISTRATIVO.-,D,PASIVO,4,201059900000,False,201
201059900150,TRANSFERENCIA DEUDA PERS.DIRECTIVO.-,D,PASIVO,4,201059900000,False,201
201059900160,CUENTAS POR PAGAR CONSIGNATARIOS,D,PASIVO,4,201059900000,False,201
201059900170,DEUDA PREPARADORES,D,PASIVO,4,201059900000,False,201
201059900180,DEUDA BECAS Y AYUDANTIAS,D,PASIVO,4,201059900000,False,201
201059900190,BONO DE ALIMENTACION FAC. Y DEP. ING. PROPIOS,D,PASIVO,4,201059900000,False,201
201059900200,PERSONAL UCV EN TRAMITE,D,PASIVO,4,201059900000,False,201
201060000000,PREVISIONES,T,PASIVO,2,201000000000,True,201
201060100000,PREVISION PARA CUENTAS INCOBRABLES,D,PASIVO,3,201060000000,False,201
201060200000,PREVISION PARA DESPIDOS,D,PASIVO,3,201060000000,False,201
201060300000,RESERVAS TECNICAS,D,PASIVO,3,201060000000,False,201
201060400000,PREVISION PARA PERDIDAS DE INVENTARIO,D,PASIVO,3,201060000000,False,201
201060500000,OTRAS PREVISIONES,D,PASIVO,3,201060000000,False,201
202000000000,PASIVO NO CIRCULANTE,T,PASIVO,1,200000000000,True,202
202010000000,DOCUMENTOS Y EFECTOS A PAGAR A MEDIANO Y LARG,T,PASIVO,2,202000000000,True,202
202010100000,EFECTOS A PAGAR A PROVEEDORES A MEDIANO Y LAR,D,PASIVO,3,202010000000,False,202
202010200000,EFECTOS A PAGAR A CONTRATISTAS A MEDIANO Y LA,D,PASIVO,3,202010000000,False,202
202010300000,EFECT. A PAG. A CONT. DEL SECTOR EXTERNO A ME,D,PASIVO,3,202010000000,False,202
202020000000,PRESTAMOS A MEDIANO Y LARGO PLAZO,T,PASIVO,2,202000000000,True,202
202020100000,DEUDA INTERNA,T,PASIVO,3,202020000000,True,202
202020101000,PRESTAMO A MEDIANO Y LARGO PLAZO DE LA ADM. C,D,PASIVO,3,202020000000,False,202
202020102000,PRESTAMO A MEDIANO Y LARGO PLAZO DE ENTIDADES,D,PASIVO,3,202020000000,False,202
202020103000,PRESTAMOS A MEDIANO Y LARGO PLAZO DE MUNICIPI,D,PASIVO,3,202020000000,False,202
202020104000,PREST. A MED. Y LARGO PLAZO DE INSTITUCIONES,D,PASIVO,3,202020000000,False,202
202020105000,PRESTAMOS A MEDIANO Y LARGO DE ENTES DESCENTR,D,PASIVO,3,202020000000,False,202
202020106000,PREST. A MEDIANO Y LARGO PLAZO DE EMPRESAS PU,D,PASIVO,3,202020000000,False,202
202020107000,PRESTAMOS A MEDIANO Y LARGO PLAZO DE EMPRESAS,D,PASIVO,3,202020000000,False,202
202020108000,PREST. A MED. Y LARGO PLAZO DE INST. FINANC.,D,PASIVO,3,202020000000,False,202
202020109000,PREST. A MED. Y LARGO PLAZO DE INST. PUBLICAS,D,PASIVO,3,202020000000,False,202
202020110000,PRESTAMOS A MEDIANO Y LARGO PLAZO DEL SECTOR,D,PASIVO,3,202020000000,False,202
202020111000,"PREST.ANTICIPOS,DESCUENTOS Y REDESCUENTOS CON",D,PASIVO,3,202020000000,False,202
202020200000,DEUDA EXTERNA,T,PASIVO,3,202020000000,True,202
202020201000,PRESTAMOS A MED. Y LARGO PLAZO DEL SECTOR EXT,D,PASIVO,3,202020000000,False,202
202030000000,DEPRECIACION Y AMORTIZACION ACUMULADA,T,PASIVO,2,202000000000,True,202
202030100000,DEPRECIACION ACUMULADA,T,PASIVO,3,202030000000,True,202
202030101000,DEPRECIACION ACUMULADA EDIFICIOS Y CONSTRUCCI,D,PASIVO,3,202030000000,False,202
202030102000,DEPRECIACION ACUMULADA INSTALACIONES,D,PASIVO,3,202030000000,False,202
202030103000,DEPRECIACION ACUMULADA MAQUINARIAS Y EQUIPOS,D,PASIVO,3,202030000000,False,202
202030104000,DEPRECIACION ACUMULADA VEHICULOS,D,PASIVO,3,202030000000,False,202
202030105000,DEPRECIACION ACUMULADA OTROS ACTIVOS FIJOS EN,D,PASIVO,3,202030000000,False,202
202030200000,AMORTIZACION ACUMULADA,T,PASIVO,3,202030000000,True,202
202030201000,AMORTIZACION ACUMULADA ESTUDIOS Y PROYECTOS,D,PASIVO,3,202030000000,False,202
202030202000,AMORTIZACION ACUMULADA DE GASTOS DE ORGANIZAC,D,PASIVO,3,202030000000,False,202
202030203000,AMORTIZACION ACUMULADA MARCAS DE FABRICA Y PA,D,PASIVO,3,202030000000,False,202
202030204000,AMORTIZACION ACUMULADA DERECHOS DE AUTOR,D,PASIVO,3,202030000000,False,202
202030205000,AMORTIZACION ACUMULADA DE PAQUETES Y PROGRAMA,D,PASIVO,3,202030000000,False,202
202030299000,AMORTIZACION ACUMULADA DE OTROS ACTIVOS INTAN,D,PASIVO,3,202030000000,False,202
202040000000,PROVISIONES,T,PASIVO,2,202000000000,True,202
202040100000,PROVISION PARA IMPUESTOS,D,PASIVO,3,202040000000,False,202
202040200000,PROVISION PARA CARGAS SOCIALES,T,PASIVO,3,202040000000,True,202
202040200010,PRESTACIONES SOCIALES PERSONAL DOCENTE.-,D,PASIVO,4,202040200000,False,202
202040200020,PRESTACIONES SOCIALES PERS.ADMINISTRATIVO.-,D,PASIVO,4,202040200000,False,202
202040200030,PRESTACIONES SOCIALES PERS. OBRERO.-,D,PASIVO,4,202040200000,False,202
202040200040,PRESTACIONES SOCIALES PERS. DIRECTIVO.-,D,PASIVO,4,202040200000,False,202
202040300000,PROVISION PARA OTRAS EROGACIONES,D,PASIVO,3,202040000000,False,202
202050000000,OTROS PASIVOS NO CIRCULANTES,T,PASIVO,2,202000000000,True,202
202050100000,ADELANTOS RECIBIDOS POR OBRAS A EJECUTAR,D,PASIVO,3,202050000000,False,202
202050200000,OTROS PASIVOS DIFERIDOS A MEDIANO Y LARGO PLA,D,PASIVO,3,202050000000,False,202
202050300000,FLUCTUACIONES  CAMBIARIAS,D,PASIVO,3,202050000000,False,202
202050400000,INGRESOS DEVENGADOS Y NO COBRADOS,D,PASIVO,3,202050000000,False,202
202050500000,OBLIGACIONES POR EMISION DE TITULOS A MEDIANO,D,PASIVO,3,202050000000,False,202
202059900000,OTROS PASIVOS A MEDIANO Y LARGO PLAZO,T,PASIVO,3,202000000000,True,202
202059900010,DEPOSITOS EN GARANTIA,D,PASIVO,4,202059900000,False,202
202059900020,DEPOSITOS ESTADIO OLIMPICO,D,PASIVO,4,202059900000,False,202
202059900030,DEPOSITOS ESTADIO DE BEISBOL,D,PASIVO,4,202059900000,False,202
202059900040,DEPOSITOS DE CAFETINES,D,PASIVO,4,202059900000,False,202
202059900050,OTROS PASIVOS A LARGO PLAZO.-,D,PASIVO,4,202059900000,False,202
202059900060,OTRAS CUENTAS POR PAGAR,D,PASIVO,4,202059900000,False,202
300000000000,RECURSOS,T,INGRESO,1,,True,300
301000000000,INGRESOS ORDINARIOS,T,INGRESO,1,300000000000,True,301
301010000000,IMPUESTOS DIRECTOS,T,INGRESO,2,301000000000,True,301
301010100000,IMPUESTO SOBRE LA RENTA A PERSONAS JURÍDICAS,T,INGRESO,3,301010000000,True,301
301010101000,IMPUESTO A EMPRESAS DE HIDROCARBUROS PRIVADAS,T,INGRESO,3,301010000000,True,301
301010102000,IMPUESTO A EMPRESAS DE HIDROCARBUROS PÚBLICAS - OPERADORAS Y COMERCIALIZADORAS,T,INGRESO,3,301010000000,True,301
301010103000,"IMPUESTO A EMPRESAS DE HIDROCARBUROS PÚBLICAS - PETRÓLEOS DE VENEZUELA, S.A (PDVSA) CASA MATRIZ Y OTRAS FILIALES",T,INGRESO,3,301010000000,True,301
301010104000,IMPUESTO ADICIONAL A EMPRESAS DE HIDROCARBUROS PRIVADAS,T,INGRESO,3,301010000000,True,301
301010105000,IMPUESTO ADICIONAL A EMPRESAS DE HIDROCARBUROS PÚBLICAS - OPERADORAS Y COMERCIALIZADORAS,T,INGRESO,3,301010000000,True,301
301010106000,"IMPUESTO ADICIONAL A EMPRESAS DE HIDROCARBUROS PÚBLICAS - OTRAS FILIALES DE PETRÓLEOS DE VENEZUELA, S.A. (PDVSA)",T,INGRESO,3,301010000000,True,301
301010107000,IMPUESTO A EMPRESAS MINERAS SECTOR HIERRO,T,INGRESO,3,301010000000,True,301
301010108000,IMPUESTO A EMPRESAS MINERAS SECTOR OTROS MINERALES,T,INGRESO,3,301010000000,True,301
301010109000,IMPUESTO ADICIONAL A EMPRESAS MINERAS SECTOR HIERRO,T,INGRESO,3,301010000000,True,301
301010110000,IMPUESTO ADICIONAL A EMPRESAS MINERAS SECTOR OTROS MINERALES,T,INGRESO,3,301010000000,True,301
301010111000,IMPUESTO SOBRE LA RENTA A OTRAS PERSONAS JURÍDICAS,T,INGRESO,3,301010000000,True,301
301010200000,IMPUESTO SOBRE LA RENTA A PERSONAS NATURALES,T,INGRESO,3,301010000000,True,301
301010300000,"IMPUESTOS SOBRE SUCESIONES, DONACIONES Y DEMÁS RAMOS CONEXOS",T,INGRESO,3,301010000000,True,301
301010400000,REPAROS ADMINISTRATIVOS POR IMPUESTO SOBRE LA RENTA A PERSONAS JURÍDICAS,T,INGRESO,3,301010000000,True,301
301010401000,REPAROS ADMINISTRATIVOS POR IMPUESTO A EMPRESAS DE HIDROCARBUROS PRIVADAS,T,INGRESO,3,301010000000,True,301
301010402000,REPAROS ADMINISTRATIVOS A EMPRESAS DE HIDROCARBUROS PÚBLICAS - OPERADORAS Y COMERCIALIZADORAS,T,INGRESO,3,301010000000,True,301
301010403000,"REPAROS ADMINISTRATIVOS A EMPRESAS DE HIDROCARBUROS PÚBLICAS - OTRAS FILIALES DE PETRÓLEOS DE VENEZUELA, S.A (PDVSA)",T,INGRESO,3,301010000000,True,301
301010404000,REPAROS ADMINISTRATIVOS A EMPRESAS MINERAS SECTOR HIERRO,T,INGRESO,3,301010000000,True,301
301010405000,REPAROS ADMINISTRATIVOS A EMPRESAS MINERAS SECTOR OTROS MINERALES,T,INGRESO,3,301010000000,True,301
301010406000,REPAROS ADMINISTRATIVOS A OTRAS PERSONAS JURÍDICAS,T,INGRESO,3,301010000000,True,301
301010500000,REPAROS ADMINISTRATIVOS POR IMPUESTO SOBRE LA RENTA A PERSONAS NATURALES,T,INGRESO,3,301010000000,True,301
301010600000,"REPAROS ADMINISTRATIVOS A IMPUESTO SOBRE SUCESIONES, DONACIONES Y DEMÁS RAMOS CONEXOS",T,INGRESO,3,301010000000,True,301
301020000000,IMPUESTOS INDIRECTOS,T,INGRESO,2,301000000000,True,301
301020100000,IMPUESTOS DE IMPORTACIÓN,T,INGRESO,3,301020000000,True,301
301020101000,IMPUESTO DE IMPORTACIÓN ORDINARIO,T,INGRESO,3,301020000000,True,301
301020102000,IMPUESTO DE IMPORTACIÓN DE BULTOS POSTALES,T,INGRESO,3,301020000000,True,301
301020103000,IMPUESTO INTERNO POR LA IMPORTACIÓN DE ALCOHOLES Y BEBIDAS ALCOHÓLICAS,T,INGRESO,3,301020000000,True,301
301020200000,IMPUESTO DE EXPORTACIÓN,T,INGRESO,3,301020000000,True,301
301020300000,"IMPUESTO SOBRE LA PRODUCCIÓN, EL CONSUMO Y TRANSACCIONES FINANCIERAS",T,INGRESO,3,301020000000,True,301
301020301000,IMPUESTO SOBRE ALCOHOLES DE PRODUCCIÓN NACIONAL,T,INGRESO,3,301020000000,True,301
301020302000,IMPUESTO SOBRE BEBIDAS ALCOHÓLICAS DE PRODUCCIÓN NACIONAL,T,INGRESO,3,301020000000,True,301
301020303000,IMPUESTO SOBRE CERVEZA DE PRODUCCIÓN NACIONAL,T,INGRESO,3,301020000000,True,301
301020304000,IMPUESTO SOBRE VINOS DE PRODUCCIÓN NACIONAL,T,INGRESO,3,301020000000,True,301
301020305000,IMPUESTO SOBRE EL PRECIO DE VENTA AL PÚBLICO DE LAS CERVEZAS Y VINOS NATURALES DE PRODUCCIÓN NACIONAL,T,INGRESO,3,301020000000,True,301
301020306000,IMPUESTO SOBRE EL PRECIO DE VENTA AL PÚBLICO DE LAS CERVEZAS Y VINOS NATURALES IMPORTADOS,T,INGRESO,3,301020000000,True,301
301020307000,IMPUESTO SOBRE EL PRECIO DE VENTA AL PÚBLICO DE OTRAS BEBIDAS HASTA 50.0° G.L. DE PRODUCCIÓN NACIONAL,T,INGRESO,3,301020000000,True,301
